id,joules,dataset,rows,features,exp
1,1396.302944,anon,10000r,10f,anon10000r10f
2,1384.453975,anon,10000r,10f,anon10000r10f
3,1388.482652,anon,10000r,10f,anon10000r10f
4,1754.872766,anon,10000r,15f,anon10000r15f
5,1752.251069,anon,10000r,15f,anon10000r15f
6,1751.603914,anon,10000r,15f,anon10000r15f
7,2248.981668,anon,10000r,20f,anon10000r20f
8,2231.23495,anon,10000r,20f,anon10000r20f
9,2235.7799809999997,anon,10000r,20f,anon10000r20f
10,422.05195799999996,anon,1000r,10f,anon1000r10f
11,421.713397,anon,1000r,10f,anon1000r10f
12,422.529252,anon,1000r,10f,anon1000r10f
13,464.441804,anon,1000r,15f,anon1000r15f
14,460.451276,anon,1000r,15f,anon1000r15f
15,459.60062999999997,anon,1000r,15f,anon1000r15f
16,470.620439,anon,1000r,20f,anon1000r20f
17,471.654066,anon,1000r,20f,anon1000r20f
18,470.39845399999996,anon,1000r,20f,anon1000r20f
19,735.273326,anon,5000r,10f,anon5000r10f
20,749.082372,anon,5000r,10f,anon5000r10f
21,745.100569,anon,5000r,10f,anon5000r10f
22,1163.085646,anon,5000r,15f,anon5000r15f
23,1133.915493,anon,5000r,15f,anon5000r15f
24,1144.304383,anon,5000r,15f,anon5000r15f
25,1251.453828,anon,5000r,20f,anon5000r20f
26,1252.500944,anon,5000r,20f,anon5000r20f
27,1247.809855,anon,5000r,20f,anon5000r20f
28,1279.669515,anon,10000r,10f,anon10000r10f
29,1281.792189,anon,10000r,10f,anon10000r10f
30,1268.273303,anon,10000r,10f,anon10000r10f
31,1799.1278399999999,anon,10000r,15f,anon10000r15f
32,1787.685303,anon,10000r,15f,anon10000r15f
33,1787.226808,anon,10000r,15f,anon10000r15f
34,2224.420515,anon,10000r,20f,anon10000r20f
35,2218.3627899999997,anon,10000r,20f,anon10000r20f
36,2209.6858709999997,anon,10000r,20f,anon10000r20f
37,404.53009299999997,anon,1000r,10f,anon1000r10f
38,398.156879,anon,1000r,10f,anon1000r10f
39,404.86895899999996,anon,1000r,10f,anon1000r10f
40,459.178634,anon,1000r,15f,anon1000r15f
41,459.09281899999996,anon,1000r,15f,anon1000r15f
42,452.717896,anon,1000r,15f,anon1000r15f
43,456.52885999999995,anon,1000r,20f,anon1000r20f
44,458.615586,anon,1000r,20f,anon1000r20f
45,456.51262499999996,anon,1000r,20f,anon1000r20f
46,698.185346,anon,5000r,10f,anon5000r10f
47,701.8490949999999,anon,5000r,10f,anon5000r10f
48,708.765215,anon,5000r,10f,anon5000r10f
49,1112.598348,anon,5000r,15f,anon5000r15f
50,1103.218001,anon,5000r,15f,anon5000r15f
51,1098.411555,anon,5000r,15f,anon5000r15f
52,1165.317024,anon,5000r,20f,anon5000r20f
53,1171.416679,anon,5000r,20f,anon5000r20f
54,1160.500386,anon,5000r,20f,anon5000r20f
55,1887.8094979999998,orig,10000r,10f,orig10000r10f
56,1892.879798,orig,10000r,10f,orig10000r10f
57,1893.536596,orig,10000r,10f,orig10000r10f
58,2424.206869,orig,10000r,15f,orig10000r15f
59,2418.6382169999997,orig,10000r,15f,orig10000r15f
60,2404.9934169999997,orig,10000r,15f,orig10000r15f
61,2634.422944,orig,10000r,20f,orig10000r20f
62,2603.3934209999998,orig,10000r,20f,orig10000r20f
63,2628.227646,orig,10000r,20f,orig10000r20f
64,467.584619,orig,1000r,10f,orig1000r10f
65,473.998176,orig,1000r,10f,orig1000r10f
66,473.831978,orig,1000r,10f,orig1000r10f
67,502.538936,orig,1000r,15f,orig1000r15f
68,504.201956,orig,1000r,15f,orig1000r15f
69,500.92987,orig,1000r,15f,orig1000r15f
70,508.58872499999995,orig,1000r,20f,orig1000r20f
71,509.075723,orig,1000r,20f,orig1000r20f
72,506.763778,orig,1000r,20f,orig1000r20f
73,1192.84918,orig,5000r,10f,orig5000r10f
74,1187.731029,orig,5000r,10f,orig5000r10f
75,1186.879164,orig,5000r,10f,orig5000r10f
76,-260864.8639,orig,5000r,15f,orig5000r15f
77,1273.092261,orig,5000r,15f,orig5000r15f
78,1276.7693749999999,orig,5000r,15f,orig5000r15f
79,1406.142092,orig,5000r,20f,orig5000r20f
80,1410.708363,orig,5000r,20f,orig5000r20f
81,1402.341442,orig,5000r,20f,orig5000r20f
82,1906.8576059999998,orig,10000r,10f,orig10000r10f
83,1960.0627319999999,orig,10000r,10f,orig10000r10f
84,1959.0468039999998,orig,10000r,10f,orig10000r10f
85,2445.207669,orig,10000r,15f,orig10000r15f
86,2422.335841,orig,10000r,15f,orig10000r15f
87,2418.7472869999997,orig,10000r,15f,orig10000r15f
88,2601.763725,orig,10000r,20f,orig10000r20f
89,2586.624848,orig,10000r,20f,orig10000r20f
90,2593.9267099999997,orig,10000r,20f,orig10000r20f
91,480.62908,orig,1000r,10f,orig1000r10f
92,483.91074799999996,orig,1000r,10f,orig1000r10f
93,481.88780399999996,orig,1000r,10f,orig1000r10f
94,500.21435599999995,orig,1000r,15f,orig1000r15f
95,499.855349,orig,1000r,15f,orig1000r15f
96,501.925168,orig,1000r,15f,orig1000r15f
97,517.655169,orig,1000r,20f,orig1000r20f
98,516.800983,orig,1000r,20f,orig1000r20f
99,521.946052,orig,1000r,20f,orig1000r20f
100,869.206881,orig,5000r,10f,orig5000r10f
101,873.761801,orig,5000r,10f,orig5000r10f
102,874.5064289999999,orig,5000r,10f,orig5000r10f
103,1335.4277339999999,orig,5000r,15f,orig5000r15f
104,1327.523579,orig,5000r,15f,orig5000r15f
105,1327.019796,orig,5000r,15f,orig5000r15f
106,1383.8553439999998,orig,5000r,20f,orig5000r20f
107,1399.12972,orig,5000r,20f,orig5000r20f
108,1401.013504,orig,5000r,20f,orig5000r20f
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
